gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NGRN,25.999939,-0.004508900315638394,0.21419084244050945,-0.05931893025356547,0.9526980835013896,0.9854047247056256
NGRNP1,27.817427,-0.04159216881640914,0.21861060251887182,-0.5281509891425816,0.5973945431823001,0.8484355966091189
NHEJ1,75.2498,-0.5458232370446489,0.231448524914042,-3.1074350182544603,0.0018871846944714787,0.04151572213149766
NHERF1,138.62364,0.04659687449209208,0.1988495164956246,0.535525598277503,0.5922864614488389,0.8445709582306951
NHLRC2,24.619543,-0.07839410882134358,0.21731603169125002,-0.8936393958087531,0.37151486077508233,0.7134444418523825
NHLRC3,91.41897,0.029715253293170697,0.19737104080046683,0.3479177542053515,0.7279019513575624,0.9061154616152126
NHP2,172.33658,0.203764710432916,0.30562636065471216,1.8839050211124935,0.05957782393931465,0.3115411235741247
NHSL2,10.498845,-0.042785602777508036,0.24967216531648653,-0.9164149999028952,0.35944927089760337,0.7042630479143529
NIBAN1,126.5901,-0.06282270607245992,0.23240908508511846,-0.8532295100180951,0.3935320415697209,0.72970321179161
NIF3L1,9.338564,-0.004674626985959503,0.2569724315951897,-0.09141085676470936,0.9271661354173991,0.9806963615728254
NIFK,116.08424,0.1230197501165422,0.11715153646606537,1.370530967523707,0.17052121542231335,0.5186915427315384
NIN,167.22934,-0.08713652738820986,0.18238997098876517,-0.9140579508207777,0.3606863959165807,0.7052428853641373
NINJ1,68.43438,-0.2233607842741451,0.248507737666648,-1.864571473160701,0.06224149454987298,0.3179123546820785
NINJ2,14.840691,-0.020890177882820878,0.2434455572590383,-0.360178341018063,0.7187137706498508,0.9013958180935648
NIP7,70.096504,0.05604815085786198,0.1878614564280006,0.618923445368347,0.5359667924277558,0.8205051990963587
NIPA1,18.909107,-0.13583788639849376,0.27391572298198363,-1.5628654267922715,0.11808425113764973,0.4373014363300593
NIPA2,55.513416,0.01416245409411724,0.19725380535743697,0.16564554508360269,0.8684359025864757,0.9599473127591742
