,ensembl_gene_id,external_gene_name
521,ENSG00000284911,RN7SKP205
522,ENSG00000284904,
523,ENSG00000285965,
524,ENSG00000285289,LINC00596
525,ENSG00000285282,DHRS4-AS1
526,ENSG00000286673,
527,ENSG00000290630,
528,ENSG00000285036,DHRS4L1
529,ENSG00000284765,CARMIL3
530,ENSG00000205936,PPP1R12BP2
531,ENSG00000251925,SNORA70
532,ENSG00000286744,
533,ENSG00000225189,REREP1Y
534,ENSG00000230073,
535,ENSG00000215540,RBMY2CP
536,ENSG00000236647,
537,ENSG00000099721,AMELY
538,ENSG00000285221,CPNE6
539,ENSG00000092377,TBL1Y
540,ENSG00000285493,NRL
541,ENSG00000285241,PCK2
542,ENSG00000284796,DCAF11
543,ENSG00000232583,GPR143P
544,ENSG00000205944,DAZ2
545,ENSG00000284818,
546,ENSG00000285321,FITM1
547,ENSG00000284916,PSME1
548,ENSG00000285377,EMC9
549,ENSG00000285298,
550,ENSG00000284889,PSME2
551,ENSG00000285146,MIR7703
552,ENSG00000285152,RNF31
553,ENSG00000284845,
554,ENSG00000285306,RNA5SP383
555,ENSG00000168757,TSPY2
556,ENSG00000285048,IRF9
557,ENSG00000285007,REC8
558,ENSG00000226555,AGKP1
559,ENSG00000228787,NLGN4Y-AS1
560,ENSG00000242389,RBMY1E
561,ENSG00000285248,IPO4
562,ENSG00000285125,
563,ENSG00000287341,
564,ENSG00000285465,TM9SF1
565,ENSG00000165246,NLGN4Y
566,ENSG00000285502,
567,ENSG00000284802,
568,ENSG00000285309,
569,ENSG00000285140,TSSK4
570,ENSG00000285302,CHMP4A
571,ENSG00000285296,
572,ENSG00000285200,MDP1
573,ENSG00000285425,NEDD8-MDP1
574,ENSG00000231535,LINC00278
575,ENSG00000285246,NEDD8
576,ENSG00000229343,CDY22P
577,ENSG00000232695,ELOCP17
578,ENSG00000235511,OFD1P18Y
579,ENSG00000232914,TRAPPC2P4
580,ENSG00000223655,RAB9AP3
581,ENSG00000230854,USP9YP20
582,ENSG00000252625,RNU1-40P
583,ENSG00000227635,USP9YP21
584,ENSG00000237546,XKRYP6
585,ENSG00000284752,GMPR2
586,ENSG00000172283,PRYP4
587,ENSG00000227867,ELOCP11
588,ENSG00000231716,CDY23P
589,ENSG00000234744,USP9YP26
590,ENSG00000233156,HSFY8P
591,ENSG00000234888,OFD1P15Y
592,ENSG00000215507,RBMY2DP
593,ENSG00000235014,REREP2Y
594,ENSG00000289705,
595,ENSG00000225876,
596,ENSG00000251796,SNORA70
597,ENSG00000229238,PPP1R12BP1
598,ENSG00000252948,RNU6-1314P
599,ENSG00000233843,CYCSP48
600,ENSG00000188399,ANKRD36P1
601,ENSG00000277146,
602,ENSG00000129862,VCY1B
603,ENSG00000235451,PNPLA4P1
604,ENSG00000289706,
605,ENSG00000226611,OFD1P2Y
